LESE

ctrl-f1           advarsel|feil
shift-f1          javadoc e.g /opt/jdk/docs/api
  
ctrl-d            diff fil vs fil
alt-v b           diff clipboard vs editor
alt-v m           diff fil vs editor
  
ctrl-shift-i      definisjon fil|navn
  
ctrl-p            params
ctrl-shift-p      expr type
  
ctrl-q            javadoc popup
alt-q             context popup
  
ctrl-alt-x p      xpath expr
   
